0.000252647	0
0.0255178	0
0.0507417	1.09531e-19
0.0740211	0.00606176
0.0959742	0.676223
0.117784	0.89926
0.139187	0.5307
0.159052	0.518902
0.176239	0.792939
0.192585	0.733555
0.208084	0.478222
0.224551	0.640497
0.244935	0.647428
0.265359	0.683445
0.285805	0.634922
0.306148	0.724458
0.326593	0.676818
0.347079	0.853286
0.367484	0.801983
0.387868	0.821735
0.40819	0.919217
0.428595	0.95284
0.449081	0.916315
0.469404	0.979689
0.489828	1
0.510233	0.981953
0.530617	0.975656
0.551123	0.991786
0.571507	0.984441
0.591912	0.960056
0.612337	0.947522
0.632741	0.942089
0.653084	0.922985
0.67355	0.905004
0.693934	0.898159
0.714338	0.887849
0.734743	0.878534
0.755147	0.870959
0.775531	0.85915
0.795956	0.852167
0.81636	0.845415
0.836703	0.836306
0.857108	0.829409
0.877574	0.826912
0.897998	0.823392
0.918403	0.821694
0.938766	0.817416
0.959191	0.813634
0.979616	0.81123
1	0.810066
